Timestamp,temp_cpu,power_pkg,current_core,voltage_core,util_total,fan_rpm,current_tdc,current_edc,power_delta,temp_ma_10,power_ma_10,power_lag_5s
2026-01-24 18:19:58.534,82.6,42.786,29.305,1.164,66.9,4300,30.061,84.218,-1.2729999999999961,85.19500000000001,44.75665,41.3
2026-01-24 18:19:59.053,82.4,42.201,29.045,1.147,67.7,4300,29.422,83.125,-0.5850000000000009,84.72,44.126799999999996,42.911
2026-01-24 18:19:59.552,82.5,42.456,29.168,1.154,66.3,4300,28.994,83.731,0.25500000000000256,84.24,43.282849999999996,41.44
2026-01-24 18:20:00.065,82.8,43.876,30.017,1.172,66.1,4300,29.942,85.361,1.4199999999999946,83.82,42.9157,41.52
2026-01-24 18:20:00.564,81.9,39.118,27.269,1.104,66.3,4400,27.522,77.739,-4.757999999999996,83.385,42.25685,42.21
2026-01-24 18:20:01.081,81.2,39.226,27.425,1.107,65.8,4400,27.662,77.824,0.10799999999999699,82.995,41.9904,43.245
2026-01-24 18:20:01.578,80.6,38.372,26.763,1.102,65.9,4400,26.887,77.267,-0.8539999999999992,82.66499999999999,41.8009,41.701
2026-01-24 18:20:02.081,80.2,39.828,27.762,1.111,66.8,4400,27.452,78.307,1.456000000000003,82.4,41.7671,42.226
2026-01-24 18:20:02.593,79.9,38.82,27.141,1.104,65.5,4300,27.387,77.46,-1.0080000000000027,82.155,41.58675,42.87
2026-01-24 18:20:03.095,79.8,39.165,27.222,1.109,66.7,4300,27.27,78.109,0.34499999999999886,81.95,41.4665,44.059
2026-01-24 18:20:03.592,79.4,39.515,27.386,1.115,64.8,4300,27.392,78.665,0.3500000000000014,81.76500000000001,41.377250000000004,42.786
2026-01-24 18:20:04.108,79.0,38.844,27.024,1.108,66.3,4300,27.007,77.893,-0.6709999999999994,81.575,41.173899999999996,42.201
2026-01-24 18:20:04.609,78.5,38.349,26.792,1.098,64.7,4400,26.713,76.954,-0.49500000000000455,81.375,41.01935,42.456
2026-01-24 18:20:05.107,78.2,38.795,26.964,1.108,65.9,4400,26.932,77.89,0.44600000000000506,81.16499999999999,40.8831,43.876
2026-01-24 18:20:05.608,78.1,38.865,26.985,1.108,65.5,4400,27.049,77.779,0.07000000000000028,80.95,40.71585,39.118
2026-01-24 18:20:06.103,78.2,40.469,28.181,1.113,67.9,4400,27.552,78.852,1.6039999999999992,80.72999999999999,40.57705,39.226
2026-01-24 18:20:06.616,78.2,39.839,27.668,1.118,65.9,4300,27.907,78.832,-0.6300000000000026,80.52,40.48395,38.372
2026-01-24 18:20:07.121,77.9,39.646,27.531,1.114,65.7,4400,27.524,78.674,-0.19299999999999784,80.305,40.35495,39.828
2026-01-24 18:20:07.624,77.5,38.006,26.463,1.1,65.2,4400,26.8,77.072,-1.6400000000000006,80.07000000000001,40.11175,38.82
2026-01-24 18:20:08.125,77.5,39.482,27.425,1.11,65.6,4400,26.978,78.174,1.475999999999999,79.82000000000001,39.8829,39.165
2026-01-24 18:20:08.636,79.8,50.732,34.386,1.231,70.8,4400,32.665,92.587,11.25,79.67999999999999,40.280199999999994,39.515
2026-01-24 18:20:09.132,79.5,40.954,28.135,1.127,66.1,4400,29.993,80.331,-9.777999999999999,79.535,40.217850000000006,38.844
2026-01-24 18:20:09.636,78.8,38.269,26.526,1.094,65.8,4400,26.82,76.23,-2.6850000000000023,79.35,40.008500000000005,38.349
2026-01-24 18:20:10.134,78.5,40.089,27.743,1.108,67.2,4400,27.483,78.04,1.8200000000000003,79.135,39.81915,38.795
2026-01-24 18:20:10.651,78.0,38.595,26.665,1.101,65.0,4400,26.997,76.916,-1.4939999999999998,78.94,39.793,38.865
2026-01-24 18:20:11.148,77.8,39.701,27.26,1.118,65.3,4400,27.118,79.044,1.1060000000000016,78.77000000000001,39.81675,40.469
2026-01-24 18:20:11.666,77.4,38.71,26.886,1.104,65.3,4300,26.805,77.819,-0.9909999999999997,78.61,39.83365,39.839
2026-01-24 18:20:12.179,77.4,37.929,26.501,1.098,65.7,4400,26.615,76.771,-0.7809999999999988,78.47,39.7387,39.646
2026-01-24 18:20:12.691,77.6,38.377,26.614,1.109,64.8,4400,26.676,77.884,0.4480000000000004,78.35499999999999,39.71655,38.006
2026-01-24 18:20:13.195,77.8,38.613,26.755,1.113,66.0,4400,26.791,78.42,0.2359999999999971,78.255,39.68895,39.482
2026-01-24 18:20:13.709,77.9,39.101,27.171,1.112,65.3,4400,27.047,78.461,0.48799999999999955,78.17999999999999,39.66825,50.732
